Gene names	Majority protein IDs	Mol. weight [kDa]	Average concentration  H1	Average concentration  H2	Average concentration  H3
BAD	Q92934	18.392	0	0.120928619	0
BAG1	J3QTA2;Q99933;Q99933-3;Q99933-4;Q99933-2;E2QRM7	38.76	0.0974632	0.163234226	0.104102667
BAG2	B4DXE2;A2A296	20.189	0	0	0
BAG2	O95816	23.772	4.997606426	5.917464267	5.592836761
BAG3	O95817;C9JFK9	61.594	0.108445826	0.095805784	0.100758349
BAG4	O95429;O95429-2	49.593	0.180728257	0.082551607	0.138619668
BAG5	Q9UL15-2;Q9UL15	56.026	0.092292089	0.026015604	0.028486774
BAG6	H0Y759	23.012	0.180042495	0.148186521	0.192264129
BAG6;BAT3	P46379-3;P46379;B0UX83;P46379-2;P46379-5;P46379-4;F6S6P2	122.34	0.836891739	0.965336353	0.886629251
BAHD1	Q8TBE0;Q8TBE0-2;Q8TBE0-3	84.651	0	0	0
BAIAP2	I3L4C2;Q9UQB8-5;Q9UQB8;Q9UQB8-2;Q9UQB8-6;Q9UQB8-4;Q9UQB8-3;F8W878;B4DWA1	61.381	0.417240253	0.428793909	0.544179258
BAIAP2L1	Q9UHR4	56.882	0.17772304	0.187829947	0.143230333
BAK1	Q16611;C0H5Y7	23.408	0.467550423	0.410513652	0.349863479
BANF1	O75531	10.058	18.98331692	17.85388512	17.28596201
BAP1	Q92560;F8W6N3	80.361	0.024882957	0.020421357	0.020869106
BASP1	P80723;P80723-2	22.693	0	0	0
BAT5;ABHD16A	B0UXB6;O95870;O95870-2;B3KNX9	67.518	0.126203335	0.084531361	0.081666518
BAX	Q07812-2;Q07812;Q07812-8;Q07812-5;Q07812-7	24.22	6.605340196	6.355250716	6.307958208
BAZ1A	Q9NRL2;Q9NRL2-2	178.7	0.205914058	0.219246344	0.178404103
BAZ1B	Q9UIG0;Q9UIG0-2	170.9	0.625268408	0.644558123	0.540661446
BAZ2A	Q9UIF9;F8VU39;Q9UIF9-3;Q9UIF9-2;J3KPG5;J3QK86	211.2	0.097890184	0.083459002	0.084098891
BAZ2B	Q9UIF8;Q9UIF8-3;Q9UIF8-5;Q9UIF8-2;Q9UIF8-4	240.46	0	0	0
BBC3	Q9BXH1;Q9BXH1-2	20.532	0.551867043	0.403998488	0.381648694
BBOX1	O75936	44.714	0	0	0
BBX	Q8WY36;Q8WY36-2;C9JA69	105.13	0	0	0
BCAM	P50895	67.404	10.31633087	10.23772276	9.669050179
BCAP29	Q9UHQ4;G5E9L4;C9JTE9;H7C5E2;B7Z2L0;C9IYK6;H0Y7N8;A6NME1	28.32	0.430811802	0.450951521	0.535209198
BCAP31	P51572-2;P51572;C9J0M4;C9JQ75	34.752	21.25070587	20.35335063	21.60563527
BCAR1	F5H7Z0;E9PCL5;E9PCV2;P56945-2;P56945-3;P56945;F5GXA2;P56945-4;F5H855	93.29	0.02498043	0.012319431	0.014671627
BCAS2	O75934	26.131	1.660975943	2.676613442	2.115353328
BCAS3	Q9H6U6-8;Q9H6U6-3;Q9H6U6;Q9H6U6-7;Q9H6U6-2;K7ESE9;Q9H6U6-6	103.66	0	0.016598641	0.020972913
BCAT1	P54687-5;P54687;P54687-4;P54687-3;P54687-2	44.131	0.262061135	0.569321269	0.56604825
BCAT2	M0QXF9;M0QZ10;O15382;B3KSI3;M0QZP4;O15382-2	49.967	0	0	0
BCCIP	Q9P287;Q9P287-3;Q9P287-2;Q9P287-4;B4E318	35.979	1.789703771	2.193869678	1.857524493
BCHE	P06276;F8WF14;F8WEX7	68.417	0	0	0
BCKDHA	F5H5P2;P12694;B4DP47;F5GXU9	54.202	0.86182848	0.684253868	0.718523104
BCKDHB	P21953	43.122	0.124223251	0.125362096	0.111395196
BCKDK	O14874;A8MY43;Q96G95;H3BS02;H3BTL2	46.36	0.490007775	0.444230194	0.438775693
BCL10	O95999	26.251	0.083716414	0.144696353	0.1398437
BCL2L1	Q07817;Q07817-3;Q5TE64;Q9H1R6;Q5QP56;Q07817-2;Q5QP59	26.049	0.979374534	1.147642833	1.060393902
BCL2L11	O43521;O43521-12;O43521-2;O43521-3;O43521-8;O43521-4;O43521-5;O43521-7;O43521-9;O43521-6	22.171	0	0	0
BCL2L13	Q9BXK5;B7Z238;B3KPE7	52.723	0.091422747	0.141443581	0.108757932
BCL2L15	Q5TBC7	17.725	0	0	0
BCL7A	Q4VC05;Q4VC05-2	22.81	0	0	0
BCL7B	Q9BQE9;Q9BQE9-4;Q9BQE9-2	22.195	0	0	0
BCL7C	I3L1Q2;Q8WUZ0-2;Q8WUZ0	32.725	0.433068714	0.324070442	0.342167332
BCL9L	Q86UU0;Q86UU0-2;Q86UU0-4;Q86UU0-3	157.13	0.066502151	0.057022225	0
BCLAF1	E9PK91;Q9NYF8-3	100.4	0	0	0
BCLAF1	Q9NYF8;Q9NYF8-2;E9PKI6;E9PQN2;E9PK09;Q9NYF8-4	106.12	4.175914849	4.087566299	4.035515585
BCO2	Q9BYV7;Q9BYV7-2;Q9BYV7-4;E9PJJ1;E9PBI8;H0YCN8	65.673	0	0	0
BCR	P11274;P11274-2;H0Y554	142.82	0.032697954	0.03183858	0.022277069
BCS1L	Q9Y276	47.534	0.299474727	0.312744816	0.332596284
BDH1	Q02338;E9PCG9;C9K0G7;C9JM78;C9JQ90	38.157	3.016518002	2.964226039	3.023652133
BDH2	Q9BUT1;Q9BUT1-2;D6RIR6;D6R9U8	26.724	2.058965045	1.263358172	1.025562361
BECN1	Q14457;E7EV84;K7ELY9;K7ER46	51.896	0.061161567	0.066893795	0.064327857
BEND3	Q5T5X7	94.474	0.018679872	0.032296953	0.032113444
BEND7	Q8N7W2;E5RFC0;Q8N7W2-3;Q8N7W2-2	57.549	1.200570209	1.269027399	1.204535015
BET1;DKFZp781C0425	H7C1N3;O15155;Q68DU7;C9JTT8;Q96EA0	14.872	0.697869342	0.723899577	0.554226806
BET1L	Q9NYM9;B8ZZS0;H7BXT7;E9PHY4	12.388	0.83051627	0.939776606	1.06408071
BGN	P21810;A6NLG9	41.654	0	0	0
BHLHE40	O14503	45.51	0	0	0
BHMT	Q93088;E5RJH0	44.998	0.169220734	0.148509661	0.141099326
BHMT2	Q9H2M3;Q9H2M3-2	40.354	0	0	0
BICD2	Q8TD16-2;Q8TD16	96.805	0.23160502	0.110377159	0.060404981
BID	P55957-2;P55957	26.836	0.404563457	0.553889414	0.503526684
BIN1	O00499;O00499-5;O00499-2;O00499-3;O00499-11;O00499-6;O00499-4;O00499-8;O00499-7;O00499-10;O00499-9	64.699	0	0	0
BIN2	Q9UBW5;F5H0W4;Q9UBW5-2	61.874	0.412625347	0	0.016829739
BIN3	Q9NQY0;H7BYV6;Q9NQY0-2	29.665	0	0	0
BIRC2	Q13490;E9PMH5;Q13490-2;E9PIW1	69.899	0	0	0
BIRC6	Q9NR09	530.25	0.017994757	0.024134966	0.022992323
BLMH	Q13867;E7EMN3;K7ESE8;J3KSD8	52.562	0.428254136	0.47394143	0.428484104
BLNK	Q8WV28;Q8WV28-2;F5GXS1;Q8WV28-3	50.466	0	0	0
BLOC1S1	P78537;P78537-2;G8JLQ3;F8VP73;F8W036	17.262	0.297101535	0.158794811	0.16985547
BLOC1S2	Q6QNY1	15.961	0.42747742	0.489908792	0.366419114
BLOC1S3	Q6QNY0	21.255	0.07762821	0.127218706	0.064163486
BLVRA	P53004	33.428	4.224276264	5.397648557	5.152431922
BLVRB	P30043;M0R192;M0QZL1	22.119	3.705082801	3.225595409	3.074618221
BLZF1	Q9H2G9;Q5T532;Q5T534	44.91	0.052940527	0.044185448	0
BMI1	P35226;Q5T8Z1;Q5T8Z2;Q5T8Z4	36.949	0.361779485	0.590441212	0.61083726
BMP10	O95393	48.047	0.017223905	0.02372218	0.012316432
BMP2K	Q9NSY1;H0Y9P1;Q9NSY1-3;Q9NSY1-2	129.17	0	0	0.006728212
BMPR1A	P36894	60.197	0.037337946	0.03479433	0.025759783
BMS1	Q14692	145.81	0.950027234	1.027510055	1.13907565
BNIP1	Q12981;Q12981-1;Q12981-2;Q12981-3	26.132	1.788960648	1.556485992	1.604056852
BNIP2	J3KN59;Q12982-2;Q12982;H7C096	48.844	0	0	0
BNIP3	Q12983;B4DHJ7	21.541	0.720569913	0.743368705	0.93325891
BNIP3L	O60238;H0YBC7;B0AZS9	23.93	0	0	0
BOD1	Q96IK1;C9J8U9	19.196	0.062986069	0.068226688	0
BOD1L	Q8NFC6	330.46	0.029815793	0.03659611	0.024717631
BOK	Q9UMX3	23.28	0.21501831	0.132805023	0.098795166
BOLA1	Q9Y3E2	14.289	0.74297907	0.67933781	0.720435639
BOLA2	Q9H3K6;H3BTW0;H3BV85;Q9H3K6-2	10.116	2.156070777	8.497846084	6.992124976
BOLA3	Q53S33	12.114	4.430567177	4.226468668	4.348607166
BOP1;KM-PA-2	Q14137;Q96Q25;E9PIF8	83.629	2.306815492	2.118847086	2.107793412
BPGM	P07738	30.005	0	0	0
BPHL	Q86WA6;Q86WA6-2	32.542	1.584905843	1.555000256	1.636724047
BPI	P17213;H0Y738	53.899	0	0	0
BPIFA2	Q96DR5	27.011	0	0	0
BPIFB1	Q8TDL5	52.441	0	0	0
BPIFB2	Q8N4F0	49.172	0.929322392	0.853780065	0.871717202
BPNT1	A6NF51;F8VVW8	31.707	0	0	0
BPNT1	O95861;O95861-2;B4DUS9;B4DPS5;F8W1J0	33.392	2.16556551	1.702886067	1.705182748
BPTF	F5GXF5	271.53	0	0	0
BPTF	Q12830;Q12830-4;E7ETD6;Q12830-2	338.26	0.116668634	0.105525462	0.118372848
BRAF	P15056;H7C560	84.436	0.005004031	0.012008905	0.008656576
BRAP	Q7Z569;J3KNN7;B4DRM1;F8VZK5	67.304	0.013695784	0.018425414	0.013113877
BRAT1	Q6PJG6	88.118	0	0	0
BRCC3	P46736-2;P46736;P46736-3;P46736-5;H9KVA9	33.149	0.165414483	0.224853189	0.216662244
BRD1	O95696-2;O95696;B4E3L9;J3KNX6;F5H6M9;J3KQ61	133.24	0.02850902	0.043073066	0.027211788
BRD2;DKFZp313H139	B0S7P1;P25440-2;P25440;H0Y6K2;Q658Y7;B0V073;B0V072;E9PIQ3	92.065	0.068773791	0.089923793	0.128420672
BRD3	Q15059;Q15059-2	79.541	0.251822547	0.289935729	0.231351003
BRD4	O60885;Q4G0X8;O60885-2;M0QZD9	152.22	0.202013743	0.416550178	0.485476178
BRD7	Q9NPI1-2;Q9NPI1	74.266	0.147551099	0.120491594	0.132478433
BRD8	Q9H0E9-2;H7C127;Q9H0E9-4;H7C179;H7C128;B5MCW3;Q9H0E9;Q9H0E9-3	102.84	0.056556858	0.06705606	0.065526819
BRD9	Q9H8M2	66.999	0	0	0
BRE	Q9NXR7;Q9NXR7-1;Q9NXR7-3;Q9NXR7-4;F8W733;C9J2G0	43.551	0.35558214	0.31701494	0.309675309
BRF1	Q92994;Q92994-5;Q92994-8;Q92994-7;Q92994-3;Q92994-9	73.839	0.015134112	0.009874448	0.009837831
BRI3BP	Q8WY22	27.835	1.455345878	1.372041063	1.303452204
BRIX1	Q8TDN6	41.401	2.648227687	2.977168296	1.572984784
BRK1	Q8WUW1-2;F5H577;Q8WUW1	12.046	0.53842783	0.615146853	0.621229369
BRMS1L	Q5PSV4;B2RD65;H0YHD0	37.629	0.159476593	0.240075254	0.23421842
BROX;C1orf58	Q5VW32;B7Z9G5;F5GXQ0;Q5VW33	46.476	0.324594076	0.285055632	0.280901066
BRP44	O95563;Q5R3B4	14.279	5.448050467	7.122759452	6.609469292
BRP44L	H7BXW7;Q9Y5U8	12.374	6.334448341	6.103386666	5.730935902
BRPF1	P55201;P55201-3;P55201-4;P55201-2	137.5	0.075636615	0.076624765	0.076392066
BRPF3	Q9ULD4;E9PI60	135.74	0.099353527	0.087457072	0.074076046
BRWD1	Q9NSI6;Q9NSI6-2;Q9NSI6-3;H0Y463	262.93	0.006294367	0.005980736	0.005657253
BRWD3	Q6RI45;Q6RI45-2;Q6RI45-4;Q6RI45-5;Q6RI45-3	203.6	0	0	0
BSCL2	J3KQ12;Q96G97-4;H7BXM1;E9PIU3;Q96G97;Q96G97-3;F8W7Q8;E9PSB5;E9PJK0;H0YF20	51.286	0	0	0
BSDC1	Q9NW68;Q9NW68-3;Q9NW68-7;Q9NW68-2;C9JB13;Q9NW68-8;Q9NW68-9;B4DM89;E9PS77;Q9NW68-4	47.163	0.206324744	0.243808983	0.256819843
BSG	P35613;P35613-2;P35613-4;I3L4S8	42.2	0.987387039	0.475253915	0.498031552
BST1	A6NC48;Q10588;H0Y984;H0Y8G4	37.482	0	0	0
BST2	Q10589	19.769	0.237303027	0.221458868	0.234526575
BTAF1	O14981	206.89	0.054399537	0.082429229	0.091304092
BTBD2;BTBD1	Q9BX70;K7ENV9;Q9H0C5;A6NMI8	55.931	0	0	0
BTD	A6NHF2;B4DLJ9;P43251;F8W1Q3;C9JSN9	61.51	0	0	0
BTF3	P20290;P20290-2;D6RDG3	22.168	4.906338905	8.065831647	8.123510714
BTF3L4	Q96K17;E9PL10	17.27	4.715172179	5.686667801	5.7542107
BTK	Q06187;Q5JY90	76.28	0	0	0
BTN2A1;BTN2A2	Q7KYR7-1;Q7KYR7;Q7KYR7-5;Q7KYR7-4;Q7KYR7-6;Q7KYR7-3;Q8WVV5-2;Q8WVV5-3;C9IY66;H7BYC3	60.004	0.105467693	6.477212351	6.41581795
BTN3A3	O00478;D0FY33;O00478-2	65.001	0	0	0.006962541
BTRC;DKFZp781N011	Q9Y297;Q9Y297-2;Q68DS0	68.866	0	0.012225583	0.016278257
BUB3	O43684;O43684-2;J3QT28;B4DDM6	37.154	2.469618483	2.793988031	3.12109861
BUD13	Q9BRD0;Q9BRD0-2	70.52	0.151349047	0.195381768	0.1785945
BUD31	P41223;C9JNV2;C9JCD9	17	1.116497655	1.344183762	0.976777457
BYSL	Q13895	49.601	1.326273099	1.747826192	1.53130415
BZW1	Q7L1Q6-3;Q7L1Q6-4;Q7L1Q6;Q7L1Q6-2;C9IZ80	51.281	3.51858644	3.739382153	3.810670528
BZW2	Q9Y6E2;E7ETZ4;Q75MG1	48.162	1.265678039	1.125768703	1.451603869
C10orf11	A6NG64;Q9H2I8	25.689	0	0	0
C10orf118	Q7Z3E2;H0Y7V5;F6VCB7	103.69	0	0	0
C10orf125	A2VDF0;A2VDF0-2	16.765	0	0	0
C10orf32	Q96B45	11.564	0.395986753	0.294580973	0.370242709
C10orf35	Q96D05-2;Q96D05;Q5VVH9	17.512	0.423474979	0.106364627	0.09723138
C10orf46	Q86Y37;Q86Y37-2;B4DVQ4	41.063	0	0	0
C10orf47	Q86WR7;D3DRR9;Q86WR7-2	45.801	0	0	0
C10orf57;RP11-369J21.6	Q8TBM7;Q5JTC0;Q5JTC1	14.242	0	0	0
C10orf76	Q5T2E6	78.71	0.087555189	0.032534014	0.081285012
C11orf10	P61165;F5GWH5	9.0788	2.123864445	1.834792832	1.739371426
C11orf24	Q96F05	46.1	0	0	0
C11orf30;EMSY	B7ZKU0;B7ZKU2;Q17RM7;Q7Z589;Q7Z589-2;B7ZKT8;E9PMC9	143.19	0.037555857	0.040935768	0.028444238
C11orf46	Q8N8R7;E9PRK7	29.337	0	0	0
C11orf48	E9PRG8;E9PLD3	13.798	0	0	0
C11orf51	G5EA39;F5H6E4;P60006;F5H3R3;F8WDQ6;F5H2T3;F5GXB9	22.03	0.079390607	0.080051117	0.069323428
C11orf52	Q96A22	13.92	0.011273581	0.014860848	0.011945402
C11orf54	Q9H0W9;Q9H0W9-2;E9PQS1;E9PPB5;Q9H0W9-4;E9PIP1	35.117	1.063169701	1.795667997	1.765060662
C11orf54	Q9H0W9-3;E9PLB3;E9PLC5;E9PSC3;E9PR95	29.491	0	0	0
C11orf57	Q6ZUT1-2;Q6ZUT1;Q6ZUT1-3;E9PLE3;E9PQL5	34.197	0.149162025	0.165568713	0.148209579
C11orf67	E9PJP1	10.125	0.183751447	0.204562969	0.109835801
C11orf67	E9PNP3;Q9H7C9;E9PR47;E9PIQ4	15.588	0.312185929	0.151879156	0.085639693
C11orf68	J3KQG9;Q9H3H3-2;Q9H3H3;Q9H3H3-3	31.517	0.374012896	0.208144828	0.478851569
C11orf73	Q53FT3;E9PPG8	21.627	0.454997211	0.365166421	0.342646837
C11orf83	Q6UW78	10.081	0	0	0
C12orf10	F8VQQ3	33.819	0	0	0
C12orf10	Q9HB07;F8VR84	42.449	1.169377376	1.136297287	1.284899121
C12orf23	Q8WUH6	11.748	5.879593869	5.109369598	4.855269652
C12orf29	Q8N999;Q8N999-3	37.49	1.436351457	1.874691973	1.713015025
C12orf4	Q9NQ89	63.8	0	0	0
C12orf43	F5H7W8;Q96C57;E7ENF1;G5EA44;F6TFQ5;H0YGK4;F5H3K2;H0YF83;F5H8B7	28.637	0.163548256	0.255713246	0.225388319
C12orf51	F8VWT9;J3KPF0;Q9Y4D8;Q9Y4D8-4;Q9Y4D8-2	468.65	0	0.0015315	0.001681956
C12orf57	Q99622;F5GXW5	13.178	0	0.124326373	0.110343528
C12orf66	J3KNH0;Q96MD2;F5H2Q3	53.202	0	0	0
C12orf73	Q69YU5	8.0224	1.913940703	1.70203533	1.788703167
C13orf27	Q5JUR7	25.585	0	0	0
C14orf1	Q9UKR5	15.864	11.34823134	10.69936237	10.17598083
C14orf101	Q9NX78	79.535	0.015164223	0.011404422	0.00970447
C14orf102	E9PBK4	106.84	0	0	0
C14orf102	Q9H7Z3	132.67	0.007001267	0.007737687	0.007816688
C14orf126	Q96FN9;F8W1H4	18.66	0.079263157	0.048904501	0.058449699
C14orf133;SPE39	G3V4K3;Q9H9C1;Q9H9C1-2	59.718	0.035896291	0.037769361	0.036696783
C14orf142	Q9BXV9	10.859	0	0	0
C14orf149	Q96EM0;E9PKK7;D6RC46	38.137	0.063111025	0.056934081	0.065865831
C14orf159	Q7Z3D6-2;Q7Z3D6-3;Q7Z3D6;Q7Z3D6-4;H0YB09;Q7Z3D6-5;G8JLP2;H0YB62	66.926	0.352913363	0.494770962	0.386222253
C14orf166	Q9Y224;G3V4C6	28.068	3.732937716	2.699719398	2.945857833
C14orf21	Q86U38;A8MY76	69.437	1.334693668	1.302591747	1.261522945
C14orf43	Q6PJG2;F6RU81	114.99	0.090427168	0.085254679	0.08121783
C14orf49	Q6ZMZ3;G3V533	112.22	0	0	0
C15orf24	Q9NPA0;H0YDT8;H0YDX2	26.47	1.326430208	1.129060381	1.1215608
C15orf38-AP3S2;C15orf38	E2QRD5;Q7Z6K5	43.881	0.019524904	0.023792633	0.023221801
C15orf40	Q8WUR7;Q8WUR7-3;Q8WUR7-2;H3BMR1;H0Y996;H3BQZ5	16.353	0.527335823	0.50883976	0.491912695
C15orf41	H3BS01;Q9Y2V0;Q9Y2V0-2;H3BNF9;H3BTL3	32.92	0	0	0
C15orf44	B4DJL6;Q96SY0;B4DVT3;Q96SY0-3;Q96SY0-4;H3BRY6	61.345	0.042079813	0.085114843	0.058808524
C15orf48;NMES1	H0YKW5;Q9C002	14.693	0	0	0
C15orf52	Q6ZUT6;Q6ZUT6-4;Q6ZUT6-2	57.324	0	0.727673122	0
C15orf57	Q9BV29-2;Q9BV29;H0YN78;H0YMC0;H0YLI5;H0YM19;Q9BV29-3;H0YLN5	21.689	0.102793405	0.088654363	0.088829729
C15orf58	Q6ZNW5;H0YN11	42.362	0.194550433	0.242633476	0.234618027
C16orf13	Q96S19;D6REA6;Q96S19-3;Q96S19-4;F6TF62;H3BNB2;Q96S19-2;H3BS73	22.578	0	0	0
C16orf5	Q9H305;B4DFU1;B4DY75;K7ELR4;H3BTN7;K7ESA8;K7ENR4	21.892	0	0	0
C16orf58	Q96GQ5;H3BSM7;H3BR29	51.017	0.423527863	0.400998636	0.381324118
C16orf61	Q9NRP2;H3BPT0;H3BPP2	9.4598	0.025609974	0.785407033	0.877961727
C16orf62	E7EWW0;Q7Z3J2;F5H7K1;G5E9I3;C9J7I2;Q7Z3J2-2;H3BV68;H3BVG8	118.61	0.005593328	0.00622033	0.005789794
C16orf7	Q9Y2B5-2;Q9Y2B5;H3BM58	72.932	0	0	0
C16orf70	Q9BSU1;H3BSG0	47.524	0	0	0
C16orf80	Q9Y6A4	22.774	3.778796073	2.39828536	2.944973115
C16orf86	Q6ZW13	33.51	0	0	0
C16orf88	Q1ED39	51.588	1.114350761	0.906974875	1.081299568
C17orf101	Q6PK18;Q6PK18-2;J3QRG1	35.646	0.042960133	0	0.007823941
C17orf108	J3KTA2;D6RFL2;D6RAR2;A8MSI8	17.69	0	0	0
C17orf39	Q8IVV7;K7ENE2;K7ELH7	33.514	0	0	0
C17orf48	Q3LIE5;Q3LIE5-3	39.529	0	0	0
C17orf49;hCG_32827;BAP18	H0YIS7;C9J4G0;Q8IXM2;F8W038	24.767	0.290084787	0.332508364	0.313555906
C17orf59	Q96GS4	37.226	0.076761558	0.048015821	0.067540135
C17orf61	Q8N2U0;K7ERE1;K7ENI6	11.741	1.861371504	1.710913985	1.89618991
C17orf62	Q9BQA9;Q9BQA9-2;J3KSJ5;J3QRG5;J3QKS6;J3KTF4;J3QLB7;J3QRZ2	20.774	0.165664556	0.113615145	0.097844174
C17orf75	J9JIC5;Q9HAS0	44.609	0.487956716	0.549157004	0.318112184
C17orf80	Q9BSJ5;Q9BSJ5-3;Q9BSJ5-2;I3L072	67.314	0.063976949	0.070422201	0.086246298
C17orf85	Q53F19;Q53F19-2	70.592	0.296644127	0.280687788	0.257445655
C17orf89	A1L188	7.7558	0	0	0
C17orf90	Q5BKU9	15.855	0.183702267	0.214340285	0.186063939
C18orf21	Q32NC0	24.826	0	0	0
C18orf25	Q96B23-2;Q96B23;K7EQH1	36.977	0.118479986	0.125952126	0.134750213
C18orf32	Q8TCD1	8.6693	0	0	0
C18orf8	Q96DM3;K7ENL9	74.974	0.057383626	0.047033877	0.034212598
C19orf10	Q969H8;M0QYN0;M0QXF7	18.795	27.7744344	25.09462695	23.28952771
C19orf12	Q9NSK7-4;Q9NSK7-3;K7EPS8;F8W6J3	15.007	0.36187784	0.420866529	0.4691428
C19orf25	Q9UFG5;E7EP72;Q9UFG5-2;K7EK56;K7ER12	12.878	3.940504565	2.425636757	2.725724837
C19orf29	Q8WUQ7-2;J3KMW8;Q8WUQ7;K7ENY9	107.94	0.037791952	0.030582451	0.027741149
C19orf42	B7WNH4;Q9BQ49;M0R2G5;M0R0R3	11.8	1.197379363	1.319377163	1.168192543
C19orf43	Q9BQ61;K7EN60;K7ERU7;K7ELS0	18.419	4.016860278	3.948052446	3.791200742
C19orf47	Q8N9M1;Q8N9M1-2;Q8N9M1-3	44.746	0.071299607	0.23248586	0.291089355
C19orf52	Q9BSF4	29.233	0.321886442	0.307096159	0.317808043
C19orf53	Q9UNZ5;K7ESE5	10.576	2.655698891	2.408788555	2.174904788
C19orf6	Q4ZIN3;Q4ZIN3-2	67.888	0.054849802	0.044049209	0.048483169
C19orf63	M0R2A0;Q5UCC4;Q5UCC4-2	38.975	0	0	0
C19orf66	Q9NUL5;Q9NUL5-4;Q9NUL5-3	33.11	0.288237224	0.472483142	0.467813401
C19orf77	O75264	14.964	0	0	0
C19orf80	Q6UXH0	22.105	0.235457167	0.201595557	0.214483511
C1D	J3KPZ4;Q13901	20.116	1.242295899	0.817063469	0.523548642
C1GALT1	Q9NS00;Q9NS00-2	42.202	0.34621245	0.322124235	0.203321215
C1GALT1C1	Q96EU7	36.382	0.438679208	0.479830469	0.397736314
C1orf106	Q3KP66;Q3KP66-3	72.913	0.006763166	0.008989609	0.011794467
C1orf115	Q9H7X2	15.516	0.167334154	0.082198803	0.110911113
C1orf122	Q6ZSJ8;E9PQ13	11.471	0	0	0
C1orf123	Q9NWV4;B1ARP7	18.048	0.379226999	0.346748529	0.136887807
C1orf131	Q8NDD1;Q8NDD1-2;Q5TBH9	32.766	0.140765049	0.138466626	0.161885968
C1orf131	Q8NDD1-3;Q5TBI2	32.482	0.085499154	0.101576799	0.097742354
C1orf144	Q7Z422;C9K0U0;Q7Z422-3;Q7Z422-4;Q7Z422-2;F8WEE8	16.997	0.418823909	0.492935471	1.262673245
C1orf149;MEAF6	Q9HAF1-3;B1AK64;Q9HAF1;Q9HAF1-2;B1AK63	22.755	0.741098975	0.838739366	0.804090879
C1orf168	Q5VWT5;Q5VWT5-2	82.069	0.002987679	0.001888799	0.002056193
C1orf173	Q5RHP9;Q5RHP9-2	168.46	0	0	0
C1orf174	Q8IYL3	25.977	0.513642562	0.55151698	0.621546366
C1orf198	Q9H425;G5EA08;E5RI90;Q9H425-2	36.346	0.214158582	0.1167871	0.10144129
C1orf212	Q96EX1;E5RH51	10.799	5.958130379	5.146988294	5.190380812
C1orf226	A1L170-2;A1L170;F8W6W0	33.692	0.050403986	0.122959969	0.06768924
C1orf31	Q5JTJ3-2;Q5JTJ3;Q5JTJ3-3	18.094	1.561616264	2.104294789	2.279063042
C1orf43	Q9BWL3-2;Q9BWL3-4;Q9BWL3;Q9BWL3-3;Q9BWL3-5	24.819	0	0	0
C1orf50	Q9BV19	21.876	0.121107314	0.11669467	0.081577908
C1orf52	Q8N6N3;Q8N6N3-2	20.599	0.113339904	0	0
C1orf53	Q5VUE5	15.482	0	0	0
C1orf55	Q6IQ49;Q6IQ49-2;Q6IQ49-3	49.741	0.224387673	0.18904403	0.199254006
C1orf85	Q8WWB7;Q8WWB7-2	43.864	0	0	0
C1orf9	Q5H945;Q9UBS9-2;Q9UBS9	156.57	0.005127628	0	0.003689063
C1QA	P02745	26.016	0	0	0
C1QB	P02746;D6R934;D6RA08;D6RGJ1	26.721	0	0	0
C1QBP	Q07021;I3L3B0;I3L3Q7	31.362	23.53473124	21.40758154	21.24299134
C1QC	P02747	25.773	0	0	0
C1R	P00736;H0YFH3	80.118	0	0	0
C1RL	Q9NZP8;F5GWF3	53.498	0.040877939	0.033865954	0.033417846
C1S	P09871;F8WCZ6	76.684	0	0	0
C2	P06681;P06681-3;B4DQI1;P06681-2;H0Y3H6;E9PDZ0	83.267	0.114057931	0.058655272	0.058493351
C20orf11	Q9NWU2	26.748	0.260425764	0.306235095	0.313893337
C20orf112	Q96MY1;Q96MY1-2	47.214	0.27574413	0.453789019	0.281750797
C20orf24	Q5QPG6;Q9BUV8;Q9BUV8-2;Q9BUV8-3;Q9BUV8-4	15.893	2.381566005	2.798519842	1.724133932
C20orf27	Q9GZN8-2;Q9GZN8;H7BYU9	21.645	0.732659196	0.806014209	1.328060154
C20orf29	Q9NUS5	22.522	0	0	0
C20orf30	Q96A57-2;Q96A57;Q5JWB9	19.91	0	0	0
C20orf4	A2A2Q9;Q9Y312	45.034	0.185868086	0.182377881	0.163641107
C20orf43	A8MSH5;Q9BY42;A2A2L5	37.531	0.478349422	0.380899752	0.309812433
C20orf7	Q5TEU4;Q5TEU4-2;B3KR61	38.918	0.198198554	0.188090513	0.165203348
C20orf72	Q9BQP7;Q5QPE7;Q5QPE8	39.42	3.279272312	3.199546549	3.594663026
C21orf2	Q8N5X6;O43822;G5E952;O43822-2	40.421	0	0	0
C21orf33	P30042;H7C1F6;H7C2G3;P30042-2	28.17	9.459111719	9.887022892	11.22121061
C21orf56	Q9H0A9;Q9H0A9-2	37.612	0	0.514850322	0
C21orf59	P57076;C9J818;F8VZ95;H7BZW1;D3DSE6;F5GXV2;H7C2R6	33.224	0	0.092817279	0.072662541
C22orf13	B5MCL7;Q96NT3;Q96NT3-2;E9PGZ7;E7EX77;B5MCF3	33.476	0.035680115	0.035300717	0.036020345
C22orf25	B7WNV6;C9JC99;Q6ICL3;Q6ICL3-3;C9J695;Q6ICL3-2;B7Z730;B7Z583;C9JDT9	34.952	0	0	0
C22orf28	Q9Y3I0	55.21	5.190365542	5.723834495	5.609976425
C22orf39	Q6P5X5	16.805	0	0	0
